,workers,accuracy,simulation
819,44,0.19,10
820,45,0.14,10
821,46,0.25,10
822,47,0.3,10
823,48,0.28,10
824,49,0.29,10
825,50,0.23,10
826,51,0.27,10
827,52,0.32,10
828,53,0.19,10
829,54,0.29,10
830,55,0.24,10
831,56,0.3,10
832,57,0.36,10
833,58,0.35,10
834,59,0.39,10
835,60,0.14,10
836,61,0.22,10
837,62,0.27,10
838,63,0.26,10
839,64,0.25,10
840,65,0.26,10
841,66,0.3,10
842,67,0.28,10
843,68,0.31,10
844,69,0.27,10
845,70,0.32,10
846,71,0.27,10
847,72,0.27,10
848,73,0.29,10
849,74,0.22,10
850,75,0.15,10
851,76,0.31,10
852,77,0.21,10
853,78,0.31,10
854,79,0.27,10
855,80,0.28,10
856,81,0.33,10
857,82,0.32,10
858,83,0.28,10
859,84,0.29,10
860,85,0.28,10
861,86,0.19,10
862,87,0.25,10
863,88,0.21,10
864,89,0.18,10
865,90,0.26,10
866,91,0.26,10
867,92,0.25,10
868,93,0.32,10
869,94,0.27,10
870,95,0.28,10
871,96,0.24,10
872,97,0.31,10
873,98,0.29,10
874,99,0.3,10
875,17,0.28,11
876,21,0.29,11
877,23,0.26,11
878,25,0.29,11
879,26,0.3,11
880,27,0.31,11
881,28,0.2,11
882,29,0.37,11
883,30,0.3,11
884,31,0.2,11
885,32,0.27,11
886,33,0.24,11
887,34,0.28,11
888,35,0.26,11
889,36,0.28,11
890,37,0.36,11
891,38,0.29,11
892,39,0.21,11
893,40,0.27,11
894,41,0.21,11
895,42,0.29,11
896,43,0.27,11
897,44,0.3,11
898,45,0.27,11
899,46,0.31,11
900,47,0.21,11
901,48,0.36,11
902,49,0.28,11
903,50,0.27,11
904,51,0.38,11
905,52,0.35,11
906,53,0.36,11
907,54,0.27,11
908,55,0.34,11
909,56,0.35,11
910,57,0.26,11
911,58,0.32,11
912,59,0.29,11
913,60,0.26,11
914,61,0.28,11
915,62,0.32,11
916,63,0.15,11
917,64,0.28,11
918,65,0.31,11
919,66,0.3,11
920,67,0.29,11
921,68,0.33,11
922,69,0.29,11
923,70,0.29,11
924,71,0.28,11
925,72,0.33,11
926,73,0.23,11
927,74,0.29,11
928,75,0.19,11
929,76,0.27,11
930,77,0.33,11
931,78,0.33,11
932,79,0.25,11
933,80,0.38,11
934,81,0.24,11
935,82,0.23,11
936,83,0.28,11
937,84,0.24,11
938,85,0.28,11
939,86,0.18,11
940,87,0.27,11
941,88,0.26,11
942,89,0.31,11
943,90,0.25,11
944,91,0.26,11
945,92,0.24,11
946,93,0.26,11
947,94,0.25,11
948,95,0.22,11
949,96,0.24,11
950,97,0.27,11
951,98,0.24,11
952,99,0.23,11
953,21,0.29,12
954,24,0.33,12
955,25,0.24,12
956,26,0.26,12
957,27,0.12,12
958,28,0.23,12
959,29,0.32,12
960,30,0.24,12
961,31,0.26,12
962,32,0.16,12
963,33,0.31,12
964,34,0.26,12
965,35,0.3,12
966,36,0.27,12
967,37,0.29,12
968,38,0.25,12
969,39,0.27,12
970,40,0.32,12
971,41,0.23,12
972,42,0.27,12
973,43,0.28,12
974,44,0.23,12
975,45,0.19,12
976,46,0.24,12
977,47,0.34,12
978,48,0.21,12
979,49,0.33,12
980,50,0.33,12
981,51,0.28,12
982,52,0.27,12
983,53,0.26,12
984,54,0.26,12
985,55,0.36,12
986,56,0.31,12
987,57,0.36,12
988,58,0.27,12
989,59,0.25,12
990,60,0.3,12
991,61,0.27,12
992,62,0.3,12
993,63,0.32,12
994,64,0.34,12
995,65,0.21,12
996,66,0.29,12
997,67,0.19,12
998,68,0.2,12
999,69,0.29,12
1000,70,0.2,12
1001,71,0.25,12
1002,72,0.23,12
1003,73,0.16,12
1004,74,0.32,12
1005,75,0.33,12
1006,76,0.25,12
1007,77,0.24,12
1008,78,0.27,12
1009,79,0.22,12
1010,80,0.25,12
1011,81,0.33,12
1012,82,0.24,12
1013,83,0.32,12
1014,84,0.24,12
1015,85,0.29,12
1016,86,0.26,12
1017,87,0.18,12
1018,88,0.2,12
1019,89,0.22,12
1020,90,0.29,12
1021,91,0.3,12
1022,92,0.29,12
1023,93,0.3,12
1024,94,0.24,12
1025,95,0.35,12
1026,96,0.13,12
1027,97,0.32,12
1028,98,0.26,12
1029,99,0.36,12
1030,19,0.32,13
1031,20,0.28,13
1032,21,0.24,13
1033,24,0.25,13
1034,25,0.3,13
1035,26,0.34,13
1036,27,0.2,13
1037,28,0.22,13
1038,29,0.27,13
1039,30,0.21,13
1040,31,0.28,13
1041,32,0.23,13
1042,33,0.3,13
1043,34,0.32,13
1044,35,0.28,13
1045,36,0.23,13
1046,37,0.35,13
1047,38,0.26,13
1048,39,0.28,13
1049,40,0.36,13
1050,41,0.24,13
1051,42,0.25,13
1052,43,0.18,13
1053,44,0.33,13
1054,45,0.28,13
1055,46,0.29,13
1056,47,0.32,13
1057,48,0.3,13
1058,49,0.31,13
1059,50,0.3,13
1060,51,0.23,13
1061,52,0.27,13
1062,53,0.3,13
1063,54,0.24,13
1064,55,0.3,13
1065,56,0.31,13
1066,57,0.24,13
1067,58,0.24,13
1068,59,0.27,13
1069,60,0.21,13
1070,61,0.33,13
1071,62,0.25,13
1072,63,0.3,13
1073,64,0.26,13
1074,65,0.17,13
1075,66,0.2,13
1076,67,0.3,13
1077,68,0.23,13
1078,69,0.29,13
1079,70,0.25,13
1080,71,0.31,13
1081,72,0.27,13
1082,73,0.31,13
1083,74,0.37,13
1084,75,0.25,13
