total_tasks,total_workers,proportion_hard_tasks,proportion_train_tasks,workers_per_task,total_keys,accuracy
100,40,0.2,0.4,7,3,0.9457
100,40,0.2,0.4,7,5,0.9629
100,40,0.2,0.4,7,7,0.9786
100,40,0.2,0.6,3,3,0.9533
100,40,0.2,0.6,3,5,0.9667
100,40,0.2,0.6,3,7,0.96
100,40,0.2,0.6,5,3,0.96
100,40,0.2,0.6,5,5,0.962
100,40,0.2,0.6,5,7,0.97
100,40,0.2,0.6,7,3,0.9471
100,40,0.2,0.6,7,5,0.9586
100,40,0.2,0.6,7,7,0.9771
100,40,0.4,0.4,3,3,0.9133
100,40,0.4,0.4,3,5,0.9667
100,40,0.4,0.4,3,7,0.9733
100,40,0.4,0.4,5,3,0.968
100,40,0.4,0.4,5,5,0.954
100,40,0.4,0.4,5,7,0.984
100,40,0.4,0.4,7,3,0.9586
100,40,0.4,0.4,7,5,0.9729
100,40,0.4,0.4,7,7,0.9657
100,40,0.4,0.6,3,3,0.9367
100,40,0.4,0.6,3,5,0.9633
100,40,0.4,0.6,3,7,0.9767
100,40,0.4,0.6,5,3,0.95
100,40,0.4,0.6,5,5,0.966
100,40,0.4,0.6,5,7,0.972
100,40,0.4,0.6,7,3,0.9486
100,40,0.4,0.6,7,5,0.9571
100,40,0.4,0.6,7,7,0.9714
100,40,0.6,0.4,3,3,0.9533
100,40,0.6,0.4,3,5,0.9833
100,40,0.6,0.4,3,7,0.97
100,40,0.6,0.4,5,3,0.954
100,40,0.6,0.4,5,5,0.96
100,40,0.6,0.4,5,7,0.984
100,40,0.6,0.4,7,3,0.9471
100,40,0.6,0.4,7,5,0.96
100,40,0.6,0.4,7,7,0.9714
100,40,0.6,0.6,3,3,0.94
100,40,0.6,0.6,3,5,0.9667
100,40,0.6,0.6,3,7,0.9567
100,40,0.6,0.6,5,3,0.916
100,40,0.6,0.6,5,5,0.97
100,40,0.6,0.6,5,7,0.968
100,40,0.6,0.6,7,3,0.9514
100,40,0.6,0.6,7,5,0.9414
100,40,0.6,0.6,7,7,0.9643
100,40,0.8,0.4,3,3,0.9633
100,40,0.8,0.4,3,5,0.9767
100,40,0.8,0.4,3,7,0.9533
100,40,0.8,0.4,5,3,0.972
100,40,0.8,0.4,5,5,0.968
100,40,0.8,0.4,5,7,0.972
100,40,0.8,0.4,7,3,0.9571
100,40,0.8,0.4,7,5,0.9357
100,40,0.8,0.4,7,7,0.9443
100,40,0.8,0.6,3,3,0.9367
100,40,0.8,0.6,3,5,0.9567
100,40,0.8,0.6,3,7,0.9667
100,40,0.8,0.6,5,3,0.954
100,40,0.8,0.6,5,5,0.942
100,40,0.8,0.6,5,7,0.968
100,40,0.8,0.6,7,3,0.9271
100,40,0.8,0.6,7,5,0.9614
100,40,0.8,0.6,7,7,0.9571
120,30,0.2,0.4,3,3,0.9639
120,30,0.2,0.4,3,5,0.9583
120,30,0.2,0.4,3,7,0.9722
120,30,0.2,0.4,5,3,0.975
120,30,0.2,0.4,5,5,0.9633
120,30,0.2,0.4,5,7,0.98
120,30,0.2,0.4,7,3,0.0
120,30,0.2,0.4,7,5,0.9702
120,30,0.2,0.4,7,7,0.9643
120,30,0.2,0.6,3,3,0.95
120,30,0.2,0.6,3,5,0.9694
120,30,0.2,0.6,3,7,0.9806
120,30,0.2,0.6,5,3,0.93
120,30,0.2,0.6,5,5,0.9683
120,30,0.2,0.6,5,7,0.9567
120,30,0.2,0.6,7,3,0.0
120,30,0.2,0.6,7,5,0.981
120,30,0.2,0.6,7,7,0.9667
120,30,0.4,0.4,3,3,0.9472
120,30,0.4,0.4,3,5,0.9472
120,30,0.4,0.4,3,7,0.9722
120,30,0.4,0.4,5,3,0.9617
120,30,0.4,0.4,5,5,0.9467
120,30,0.4,0.4,5,7,0.9717
120,30,0.4,0.4,7,3,0.9619
120,30,0.4,0.4,7,5,0.9702
120,30,0.4,0.4,7,7,0.956
120,30,0.4,0.6,3,3,0.9722
120,30,0.4,0.6,3,5,0.9722
120,30,0.4,0.6,3,7,0.9583
120,30,0.4,0.6,5,3,0.0
120,30,0.4,0.6,5,5,0.9567
120,30,0.4,0.6,5,7,0.9767
120,30,0.4,0.6,7,3,0.0
120,30,0.4,0.6,7,5,0.0
120,30,0.4,0.6,7,7,0.9702
120,30,0.6,0.4,3,3,0.9167
120,30,0.6,0.4,3,5,0.9472
120,30,0.6,0.4,3,7,0.9806
120,30,0.6,0.4,5,3,0.9533
120,30,0.6,0.4,5,5,0.94
120,30,0.6,0.4,5,7,0.97
120,30,0.6,0.4,7,3,0.9548
120,30,0.6,0.4,7,5,0.9679
120,30,0.6,0.4,7,7,0.9845
120,30,0.6,0.6,3,3,0.9639
120,30,0.6,0.6,3,5,0.975
120,30,0.6,0.6,3,7,0.9778
120,30,0.6,0.6,5,3,0.95
120,30,0.6,0.6,5,5,0.945
120,30,0.6,0.6,5,7,0.9717
120,30,0.6,0.6,7,3,0.9643
120,30,0.6,0.6,7,5,0.95
120,30,0.6,0.6,7,7,0.9417
120,30,0.8,0.4,3,3,0.9611
120,30,0.8,0.4,3,5,0.9556
120,30,0.8,0.4,3,7,0.9778
120,30,0.8,0.4,5,3,0.96
120,30,0.8,0.4,5,5,0.9683
120,30,0.8,0.4,5,7,0.96
120,30,0.8,0.4,7,3,0.0
120,30,0.8,0.4,7,5,0.0
120,30,0.8,0.4,7,7,0.969
120,30,0.8,0.6,3,3,0.9611
120,30,0.8,0.6,3,5,0.9611
120,30,0.8,0.6,3,7,0.9833
120,30,0.8,0.6,5,3,0.9467
120,30,0.8,0.6,5,5,0.9417
120,30,0.8,0.6,5,7,0.9733
120,30,0.8,0.6,7,3,0.0
120,30,0.8,0.6,7,5,0.0
120,30,0.8,0.6,7,7,0.975
120,40,0.2,0.4,3,3,0.975
120,40,0.2,0.4,3,5,0.9778
120,40,0.2,0.4,3,7,0.9611
120,40,0.2,0.4,5,3,0.9483
120,40,0.2,0.4,5,5,0.9467
120,40,0.2,0.4,5,7,0.9867
120,40,0.2,0.4,7,3,0.956
120,40,0.2,0.4,7,5,0.9702
120,40,0.2,0.4,7,7,0.9774
120,40,0.2,0.6,3,3,0.95
120,40,0.2,0.6,3,5,0.9639
120,40,0.2,0.6,3,7,0.9806
120,40,0.2,0.6,5,3,0.9517
120,40,0.2,0.6,5,5,0.965
120,40,0.2,0.6,5,7,0.9667
120,40,0.2,0.6,7,3,0.0
120,40,0.2,0.6,7,5,0.9774
120,40,0.2,0.6,7,7,0.9714
120,40,0.4,0.4,3,3,0.9611
120,40,0.4,0.4,3,5,0.9556
120,40,0.4,0.4,3,7,0.9639
120,40,0.4,0.4,5,3,0.9667
120,40,0.4,0.4,5,5,0.975
120,40,0.4,0.4,5,7,0.9617
120,40,0.4,0.4,7,3,0.9476
120,40,0.4,0.4,7,5,0.969
120,40,0.4,0.4,7,7,0.9607
120,40,0.4,0.6,3,3,0.9111
120,40,0.4,0.6,3,5,0.9778
120,40,0.4,0.6,3,7,0.9694
120,40,0.4,0.6,5,3,0.9767
120,40,0.4,0.6,5,5,0.9817
120,40,0.4,0.6,5,7,0.975
120,40,0.4,0.6,7,3,0.9452
120,40,0.4,0.6,7,5,0.9667
120,40,0.4,0.6,7,7,0.969
120,40,0.6,0.4,3,3,0.9472
120,40,0.6,0.4,3,5,0.9528
120,40,0.6,0.4,3,7,0.9556
120,40,0.6,0.4,5,3,0.9533
120,40,0.6,0.4,5,5,0.97
120,40,0.6,0.4,5,7,0.9483
120,40,0.6,0.4,7,3,0.9464
120,40,0.6,0.4,7,5,0.9667
120,40,0.6,0.4,7,7,0.9726
120,40,0.6,0.6,3,3,0.9278
120,40,0.6,0.6,3,5,0.9667
120,40,0.6,0.6,3,7,0.9833
120,40,0.6,0.6,5,3,0.9683
120,40,0.6,0.6,5,5,0.9617
120,40,0.6,0.6,5,7,0.98
120,40,0.6,0.6,7,3,0.0
120,40,0.6,0.6,7,5,0.9774
120,40,0.6,0.6,7,7,0.9631
120,40,0.8,0.4,3,3,0.9
120,40,0.8,0.4,3,5,0.9306
120,40,0.8,0.4,3,7,0.95
120,40,0.8,0.4,5,3,0.9517
120,40,0.8,0.4,5,5,0.9717
120,40,0.8,0.4,5,7,0.95
120,40,0.8,0.4,7,3,0.9476
120,40,0.8,0.4,7,5,0.975
120,40,0.8,0.4,7,7,0.9714
120,40,0.8,0.6,3,3,0.9444
120,40,0.8,0.6,3,5,0.9472
120,40,0.8,0.6,3,7,0.9611
120,40,0.8,0.6,5,3,0.9383
120,40,0.8,0.6,5,5,0.9617
120,40,0.8,0.6,5,7,0.9633
120,40,0.8,0.6,7,3,0.9488
120,40,0.8,0.6,7,5,0.9571
120,40,0.8,0.6,7,7,0.9833
140,30,0.2,0.4,3,3,0.9452
140,30,0.2,0.4,3,5,0.95
140,30,0.2,0.4,3,7,0.9857
140,30,0.2,0.4,5,3,0.96
140,30,0.2,0.4,5,5,0.9586
140,30,0.2,0.4,5,7,0.97
140,30,0.2,0.4,7,3,0.0
140,30,0.2,0.4,7,5,0.9704
140,30,0.2,0.4,7,7,0.9714
140,30,0.2,0.6,3,3,0.9524
140,30,0.2,0.6,3,5,0.9524
140,30,0.2,0.6,3,7,0.9738
140,30,0.2,0.6,5,3,0.9443
140,30,0.2,0.6,5,5,0.9729
140,30,0.2,0.6,5,7,0.97
140,30,0.2,0.6,7,3,0.0
140,30,0.2,0.6,7,5,0.0
140,30,0.2,0.6,7,7,0.9653
140,30,0.4,0.4,3,3,0.969
140,30,0.4,0.4,3,5,0.9667
140,30,0.4,0.4,3,7,0.9595
140,30,0.4,0.4,5,3,0.9614
140,30,0.4,0.4,5,5,0.9671
140,30,0.4,0.4,5,7,0.9714
140,30,0.4,0.4,7,3,0.9582
140,30,0.4,0.4,7,5,0.949
140,30,0.4,0.4,7,7,0.9663
140,30,0.4,0.6,3,3,0.9476
140,30,0.4,0.6,3,5,0.9524
140,30,0.4,0.6,3,7,0.9833
140,30,0.4,0.6,5,3,0.95
140,30,0.4,0.6,5,5,0.9614
140,30,0.4,0.6,5,7,0.9714
140,30,0.4,0.6,7,3,0.0
140,30,0.4,0.6,7,5,0.9837
140,30,0.4,0.6,7,7,0.9612
140,30,0.6,0.4,3,3,0.9738
140,30,0.6,0.4,3,5,0.9714
140,30,0.6,0.4,3,7,0.969
