total_tasks,total_workers,proportion_hard_tasks,proportion_train_tasks,workers_per_task,total_keys,accuracy
60,50,0.6,0.2,9,3,0.9519
60,50,0.6,0.2,9,5,0.9333
60,50,0.6,0.2,9,7,0.9444
60,50,0.6,0.2,11,3,0.947
60,50,0.6,0.2,11,5,0.9606
60,50,0.6,0.2,11,7,0.9455
60,50,0.6,0.4,3,3,0.9333
60,50,0.6,0.4,3,5,0.9389
60,50,0.6,0.4,3,7,0.9444
60,50,0.6,0.4,5,3,0.8933
60,50,0.6,0.4,5,5,0.94
60,50,0.6,0.4,5,7,0.9433
60,50,0.6,0.4,7,3,0.9286
60,50,0.6,0.4,7,5,0.95
60,50,0.6,0.4,7,7,0.9643
60,50,0.6,0.4,9,3,0.0
60,50,0.6,0.4,9,5,0.9093
60,50,0.6,0.4,9,7,0.9333
60,50,0.6,0.4,11,3,0.9424
60,50,0.6,0.4,11,5,0.9288
60,50,0.6,0.4,11,7,0.9455
60,50,0.6,0.6,3,3,0.9167
60,50,0.6,0.6,3,5,0.9333
60,50,0.6,0.6,3,7,0.9389
60,50,0.6,0.6,5,3,0.91
60,50,0.6,0.6,5,5,0.9033
60,50,0.6,0.6,5,7,0.91
60,50,0.6,0.6,7,3,0.9071
60,50,0.6,0.6,7,5,0.9571
60,50,0.6,0.6,7,7,0.9048
60,50,0.6,0.6,9,3,0.9241
60,50,0.6,0.6,9,5,0.9463
60,50,0.6,0.6,9,7,0.9167
60,50,0.6,0.6,11,3,0.0
60,50,0.6,0.6,11,5,0.9636
60,50,0.6,0.6,11,7,0.0
60,50,0.6,0.8,3,3,0.8778
60,50,0.6,0.8,3,5,0.9222
60,50,0.6,0.8,3,7,0.95
60,50,0.6,0.8,5,3,0.9
60,50,0.6,0.8,5,5,0.9433
60,50,0.6,0.8,5,7,0.9267
60,50,0.6,0.8,7,3,0.919
60,50,0.6,0.8,7,5,0.9095
60,50,0.6,0.8,7,7,0.9667
60,50,0.6,0.8,9,3,0.9315
60,50,0.6,0.8,9,5,0.9315
60,50,0.6,0.8,9,7,0.9259
60,50,0.6,0.8,11,3,0.0
60,50,0.6,0.8,11,5,0.0
60,50,0.6,0.8,11,7,0.0
60,50,0.8,0.2,3,3,0.8778
60,50,0.8,0.2,3,5,0.9278
60,50,0.8,0.2,3,7,0.9167
60,50,0.8,0.2,5,3,0.9033
60,50,0.8,0.2,5,5,0.9133
